id,identifier,scam_type,platform,description,report_count,date
1,*******678,Lừa đảo tuyển cộng tác viên,Zalo,Tự xưng là nhân viên Tiki/Shopee tuyển cộng tác viên chốt đơn. Yêu cầu nạp tiền để nhận hoa hồng 20%. Sau khi nạp 5 triệu thì chặn liên lạc.,15,2026-03-12
2,*******321,Giả mạo ngân hàng,Điện thoại,"Gọi điện thông báo tài khoản bị khóa, yêu cầu cung cấp OTP để mở khóa. Giọng miền Nam, rất hung hăng.",8,2026-03-18
3,********234,Giả danh cơ quan nhà nước,Điện thoại,Gọi điện dọa nạt có liên quan đến đường dây rửa tiền. Yêu cầu chuyển toàn bộ tiền vào 'tài khoản tạm giữ' của VKS để điều tra.,25,2026-03-07
4,******************************com,Đánh cắp tài khoản (Phishing),Website,"Gửi tin nhắn cảnh báo vi phạm tiêu chuẩn cộng đồng, kèm link giả mạo để chiếm quyền kiểm soát fanpage.",42,2026-03-05
5,*******112,Đầu tư tài chính lừa đảo,Telegram,Mời gọi vào nhóm Telegram đọc lệnh. Cam kết lợi nhuận 30%/tháng. Sàn sập không rút được tiền.,12,2026-03-12
6,*******890,Đầu tư tiền ảo,Telegram,"Kêu gọi đầu tư tiền ảo lãi suất cao, sau đó biến mất.",5,2026-03-07
7,*******909,Lừa đảo mua bán hàng,Facebook,"Bán sữa giá rẻ, yêu cầu chuyển khoản trước rồi không giao hàng.",3,2026-03-16
8,*******344,Tín dụng đen,App,Vay 2 triệu nhưng bắt trả 5 triệu sau 1 tuần. Khủng bố điện thoại người thân.,18,2026-03-04
9,*******899,Lừa đảo du lịch,Facebook,"Bán combo du lịch giá rẻ bất ngờ, yêu cầu cọc 50%. Nhận tiền xong chặn số.",6,2026-03-01
10,*******111,Hàng giả/Nhái,Shopee/Facebook,"Bán nước hoa giả, son giả nhưng cam kết chính hãng. Không cho kiểm hàng.",4,2026-03-16
11,19*******00,Trúng thưởng giả,Ngân hàng,abcse,1,2026-03-22
